"ID"	"Gene.symbol"	"Gene.title"	"log2(fold change)(T vs B)"	"-log10(Pvalue)(T vs B)"
"218472_s_at"	"PELO"	"pelota homolog (Drosophila)"	2.009	4.409
"218613_at"	"PSD3"	"pleckstrin and Sec7 domain containing 3"	-4.793	6.865
"218627_at"	"DRAM1"	"DNA damage regulated autophagy modulator 1"	-3.166	4.989
"218675_at"	"SLC22A17"	"solute carrier family 22 member 17"	3.426	3.909
"218740_s_at"	"CDK5RAP3"	"CDK5 regulatory subunit associated protein 3"	1.873	3.82
"218826_at"	"SLC35F2"	"solute carrier family 35 member F2"	-2.637	3.784
"218829_s_at"	"CHD7"	"chromodomain helicase DNA binding protein 7"	-4.44	3.46
"218902_at"	"NOTCH1"	"notch 1"	1.991	4.018
"218942_at"	"PIP4K2C"	"phosphatidylinositol-5-phosphate 4-kinase type 2 gamma"	2.846	3.872
"218963_s_at"	"KRT23"	"keratin 23"	2.281	3.404
"219157_at"	"KLHL2"	"kelch like family member 2"	-3.144	3.479
"219179_at"	"DACT1"	"dishevelled binding antagonist of beta catenin 1"	-3.138	3.287
"219191_s_at"	"BIN2"	"bridging integrator 2"	3.956	3.317
"219271_at"	"GALNT14"	"polypeptide N-acetylgalactosaminyltransferase 14"	-3.625	5.35
"219317_at"	"POLI"	"DNA polymerase iota"	1.919	3.43
"219355_at"	"CXorf57"	"chromosome X open reading frame 57"	4.487	3.963
"219359_at"	"PGGHG"	"protein-glucosylgalactosylhydroxylysine glucosidase"	2.336	3.831
"219371_s_at"	"KLF2"	"Kruppel like factor 2"	-3.059	3.676
"219441_s_at"	"LRRK1"	"leucine rich repeat kinase 1"	-3.895	5.83
"219443_at"	"TASP1"	"taspase 1"	2.108	3.85
"219517_at"	"ELL3"	"elongation factor for RNA polymerase II 3"	-2.136	3.298
"219518_s_at"	"ELL3"	"elongation factor for RNA polymerase II 3"	-2.232	4.405
"219528_s_at"	"BCL11B"	"B-cell CLL/lymphoma 11B"	5.45	5.54
"219532_at"	"ELOVL4"	"ELOVL fatty acid elongase 4"	6.619	6.817
"219541_at"	"LIME1"	"Lck interacting transmembrane adaptor 1"	3.038	4.156
"219570_at"	"KIF16B"	"kinesin family member 16B"	-2.433	3.407
"219582_at"	"OGFRL1"	"opioid growth factor receptor like 1"	-2.628	4.137
"219607_s_at"	"MS4A4A"	"membrane spanning 4-domains A4A"	-3.841	3.503
"219615_s_at"	"KCNK5"	"potassium two pore domain channel subfamily K member 5"	3.622	3.729
"219631_at"	"LRP12"	"LDL receptor related protein 12"	5.543	5.073
"219667_s_at"	"BANK1"	"B-cell scaffold protein with ankyrin repeats 1"	-4.854	4.51
"219675_s_at"	"UXS1"	"UDP-glucuronate decarboxylase 1"	-1.632	3.41
"219724_s_at"	"TESPA1"	"thymocyte expressed, positive selection associated 1"	2.688	5.452
"220059_at"	"STAP1"	"signal transducing adaptor family member 1"	-3.696	3.415
"220068_at"	"VPREB3"	"pre-B lymphocyte 3"	-5.797	5.551
"220137_at"	"LOC101928274///VSIG10"	"uncharacterized LOC101928274///V-set and immunoglobulin domain containing 10"	-2.061	3.371
"220145_at"	"MAP9"	"microtubule associated protein 9"	3.854	3.668
"220253_s_at"	"LRP12"	"LDL receptor related protein 12"	5.368	4.349
"220254_at"	"LRP12"	"LDL receptor related protein 12"	5.408	5.202
"220319_s_at"	"MYLIP"	"myosin regulatory light chain interacting protein"	-3.073	3.33
"220418_at"	"UBASH3A"	"ubiquitin associated and SH3 domain containing A"	5.944	6.892
"220429_at"	"NDST3"	"N-deacetylase and N-sulfotransferase 3"	4.643	6.302
"220506_at"	"GUCY1B2"	"guanylate cyclase 1 soluble subunit beta 2 (pseudogene)"	2.536	3.614
"220565_at"	"CCR10"	"C-C motif chemokine receptor 10"	-2.616	3.718
"220998_s_at"	"UNC93B1"	"unc-93 homolog B1 (C. elegans)"	-3.069	4.221
"221081_s_at"	"DENND2D"	"DENN domain containing 2D"	3.006	3.763
"221214_s_at"	"MIR7114///NSMF"	"microRNA 7114///NMDA receptor synaptonuclear signaling and neuronal migration factor"	-2.65	4.585
"221249_s_at"	"FAM117A"	"family with sequence similarity 117 member A"	1.56	3.364
"221349_at"	"VPREB1"	"pre-B lymphocyte 1"	-3.899	3.895
"221357_at"	"CHRM4"	"cholinergic receptor muscarinic 4"	-2.988	6.278
"221529_s_at"	"PLVAP"	"plasmalemma vesicle associated protein"	-4.878	4.027
"221582_at"	"HIST3H2A"	"histone cluster 3, H2a"	3.72	4.155
"221866_at"	"TFEB"	"transcription factor EB"	-2.921	4.746
"221901_at"	"KIAA1644"	"KIAA1644"	4.194	4.573
"221969_at"	"PAX5"	"paired box 5"	-7.223	8.499
"222009_at"	"CEMP1"	"cementum protein 1"	2.048	3.584
"222040_at"	"HNRNPA1"	"heterogeneous nuclear ribonucleoprotein A1"	2.528	3.685
"222146_s_at"	"TCF4"	"transcription factor 4"	-4.158	3.588
"222217_s_at"	"SLC27A3"	"solute carrier family 27 member 3"	-3.015	4.002
"222248_s_at"	"SIRT4"	"sirtuin 4"	2.78	4.164
"222396_at"	"HN1"	"hematological and neurological expressed 1"	2.337	4.178
"222423_at"	"NDFIP1"	"Nedd4 family interacting protein 1"	3.351	3.286
"222476_at"	"CNOT6"	"CCR4-NOT transcription complex subunit 6"	2.075	4.322
"222482_at"	"SSBP3"	"single stranded DNA binding protein 3"	2.318	3.285
"222573_s_at"	"SAV1"	"salvador family WW domain containing protein 1"	-1.95	3.604
"222895_s_at"	"BCL11B"	"B-cell CLL/lymphoma 11B"	5.133	4.833
"222910_s_at"	"PEX5L"	"peroxisomal biogenesis factor 5 like"	5.421	5.59
"222915_s_at"	"BANK1"	"B-cell scaffold protein with ankyrin repeats 1"	-4.459	4.324
"223044_at"	"SLC40A1"	"solute carrier family 40 member 1"	3.175	4.252
"223046_at"	"EGLN1"	"egl-9 family hypoxia inducible factor 1"	-4.705	3.78
"223058_at"	"FAM107B"	"family with sequence similarity 107 member B"	-2.714	4.271
"223059_s_at"	"FAM107B"	"family with sequence similarity 107 member B"	-3.884	5.086
"223168_at"	"RHOU"	"ras homolog family member U"	4.403	3.924
"223169_s_at"	"RHOU"	"ras homolog family member U"	3.541	3.527
"223228_at"	"LDOC1L"	"leucine zipper down-regulated in cancer 1 like"	3.641	3.553
"223314_at"	"TSPAN14"	"tetraspanin 14"	-1.837	3.456
"223553_s_at"	"DOK3"	"docking protein 3"	-3.604	6.538
"223696_at"	"ARSD"	"arylsulfatase D"	-3.452	4.693
"223839_s_at"			4.405	4.733
"223887_at"	"GPR132"	"G protein-coupled receptor 132"	-2.565	3.514
"223912_s_at"	"CLN8"	"ceroid-lipofuscinosis, neuronal 8"	-3.184	3.917
"224048_at"	"USP44"	"ubiquitin specific peptidase 44"	3.609	4.207
"224311_s_at"	"CAB39"	"calcium binding protein 39"	-1.894	3.427
"224359_s_at"	"HOOK3"	"hook microtubule tethering protein 3"	-2.926	4.146
"224367_at"	"BEX2"	"brain expressed X-linked 2"	3.443	3.609
"224507_s_at"	"MGC12916"	"uncharacterized protein MGC12916"	-3.574	3.894
"224710_at"	"NARR///RAB34"	"nine-amino acid residue-repeats///RAB34, member RAS oncogene family"	-4.688	5.026
"224774_s_at"	"NAV1"	"neuron navigator 1"	-4.968	3.698
"224833_at"	"ETS1"	"ETS proto-oncogene 1, transcription factor"	3.228	3.616
"225112_at"	"ABI2"	"abl-interactor 2"	1.861	3.304
"225214_at"	"LOC100129034"	"uncharacterized LOC100129034"	-3.859	3.902
"225258_at"	"FBLIM1"	"filamin binding LIM protein 1"	2.91	3.878
"225280_x_at"	"ARSD"	"arylsulfatase D"	-2.734	4.606
"225314_at"	"OCIAD2"	"OCIA domain containing 2"	3.358	4.046
"225385_s_at"	"HNRNPLL"	"heterogeneous nuclear ribonucleoprotein L like"	3.778	4.4
"225386_s_at"	"HNRNPLL"	"heterogeneous nuclear ribonucleoprotein L like"	4.582	3.404
"225583_at"	"UXS1"	"UDP-glucuronate decarboxylase 1"	-2.078	3.942
"225658_at"	"SPOPL"	"speckle type BTB/POZ protein like"	-2.332	4.185
"225659_at"	"SPOPL"	"speckle type BTB/POZ protein like"	-2.647	5.207
"225785_at"	"REEP3"	"receptor accessory protein 3"	-2.392	3.657
"225796_at"	"PXK"	"PX domain containing serine/threonine kinase like"	-2.447	4.485
"225827_at"	"AGO2"	"argonaute 2, RISC catalytic component"	-2.254	3.364
"225869_s_at"	"UNC93B1"	"unc-93 homolog B1 (C. elegans)"	-3.465	3.966
"226002_at"	"GAB1"	"GRB2 associated binding protein 1"	-4.611	4.189
"226061_s_at"			-2.804	3.408
"226123_at"	"CHD7"	"chromodomain helicase DNA binding protein 7"	-4.357	3.362
"226137_at"	"ZFHX3"	"zinc finger homeobox 3"	-2.541	3.344
"226157_at"	"TFDP2"	"transcription factor Dp-2"	2.511	5.375
"226184_at"	"FMNL2"	"formin like 2"	-5.093	3.639
"226244_at"	"CLEC14A"	"C-type lectin domain family 14 member A"	-6.351	4.856
"226245_at"	"KCTD1"	"potassium channel tetramerization domain containing 1"	4.132	4.508
"226246_at"	"KCTD1"	"potassium channel tetramerization domain containing 1"	2.943	3.652
"226374_at"	"CXADR"	"coxsackie virus and adenovirus receptor"	5.576	4.923
"226397_s_at"	"PHACTR1"	"phosphatase and actin regulator 1"	-2.734	4.244
"226452_at"	"PDK1"	"pyruvate dehydrogenase kinase 1"	-2.111	3.488
"226459_at"	"PIK3AP1"	"phosphoinositide-3-kinase adaptor protein 1"	-5.528	9.514
"226485_at"	"LOC101928274///VSIG10"	"uncharacterized LOC101928274///V-set and immunoglobulin domain containing 10"	-3.249	4.428
"226496_at"	"ZCCHC7"	"zinc finger CCHC-type containing 7"	-3.549	7.678
"226546_at"	"LOC100506844"	"uncharacterized LOC100506844"	3.033	4.785
"226549_at"	"SBK1"	"SH3 domain binding kinase 1"	4.156	3.428
"226646_at"	"KLF2"	"Kruppel like factor 2"	-2.592	3.407
"226676_at"	"ZNF521"	"zinc finger protein 521"	5.33	4.531
"226677_at"	"ZNF521"	"zinc finger protein 521"	5.941	4.509
"226731_at"	"ITGA1"	"integrin subunit alpha 1"	5.113	4.868
"226769_at"	"FIBIN"	"fin bud initiation factor homolog (zebrafish)"	-2.44	3.576
"226810_at"	"OGFRL1"	"opioid growth factor receptor like 1"	-4.079	3.926
"226878_at"	"HLA-DOA"	"major histocompatibility complex, class II, DO alpha"	-3.656	6.581
"226925_at"	"PXYLP1"	"2-phosphoxylose phosphatase 1"	3.137	3.849
"226944_at"	"HTRA3"	"HtrA serine peptidase 3"	-3.436	3.656
"227167_s_at"	"RASSF3"	"Ras association domain family member 3"	-2.96	5.369
"227266_s_at"	"FYB"	"FYN binding protein"	3.662	4.838
"227646_at"	"EBF1"	"early B-cell factor 1"	-7.185	12.249
"227725_at"	"ST6GALNAC1"	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"	4.763	4.705
"227755_at"	"ERN1"	"endoplasmic reticulum to nucleus signaling 1"	3.305	7.168
"227856_at"	"C4orf32"	"chromosome 4 open reading frame 32"	-5.011	5.068
"227940_at"	"LOC339803"	"uncharacterized LOC339803"	-3.413	3.532
"228174_at"	"SCAI"	"suppressor of cancer cell invasion"	2.223	3.637
"228175_at"	"SLC4A8"	"solute carrier family 4 member 8"	3.031	4.201
"228314_at"	"LOC101927933///LRRC8C"	"uncharacterized LOC101927933///leucine rich repeat containing 8 family member C"	-2.287	4.016
"228318_s_at"	"CRIPAK"	"cysteine rich PAK1 inhibitor"	1.982	3.915
"228353_x_at"	"UBASH3B"	"ubiquitin associated and SH3 domain containing B"	-2.613	4.261
"228359_at"	"UBASH3B"	"ubiquitin associated and SH3 domain containing B"	-2.643	3.295
"228423_at"	"MAP9"	"microtubule associated protein 9"	3.522	3.911
"228628_at"	"SRGAP2C"	"SLIT-ROBO Rho GTPase activating protein 2C"	-2.661	4.41
"228646_at"	"PPP1R1C"	"protein phosphatase 1 regulatory inhibitor subunit 1C"	2.144	3.46
"228678_at"	"DENND6B"	"DENN domain containing 6B"	-3.113	3.743
"228693_at"	"CCDC50"	"coiled-coil domain containing 50"	-6.29	6.446
"228771_at"	"GRK3"	"G protein-coupled receptor kinase 3"	2.47	3.569
"228831_s_at"	"GNG7"	"G protein subunit gamma 7"	-3.219	4.357
"228832_at"	"FLJ20021"	"uncharacterized LOC90024"	-2.095	4.604
"228899_at"			-2.112	3.558
"228976_at"	"ICOSLG"	"inducible T-cell costimulator ligand"	-3.942	3.755
"229002_at"	"FAM69B"	"family with sequence similarity 69 member B"	-4.249	4.335
"229024_at"	"RNF150"	"ring finger protein 150"	3.363	3.274
"229029_at"	"CAMK4"	"calcium/calmodulin dependent protein kinase IV"	4.38	4.737
"229040_at"	"ITGB2-AS1"	"ITGB2 antisense RNA 1"	2.913	3.741
"229067_at"			-2.441	4.038
"229114_at"	"GAB1"	"GRB2 associated binding protein 1"	-4.658	4.091
"229487_at"	"EBF1"	"early B-cell factor 1"	-7.666	13.74
"229568_at"	"MOB3B"	"MOB kinase activator 3B"	-3.733	6.144
"229597_s_at"	"WDFY4"	"WDFY family member 4"	-2.338	4.379
"229606_at"			-4.647	6.686
"229693_at"	"TMEM220"	"transmembrane protein 220"	-2.278	3.438
"229695_at"			-4.071	3.592
"229734_at"	"MIR4697///MIR4697HG"	"microRNA 4697///MIR4697 host gene"	3.832	5.869
"229784_at"	"MIR424///MIR503HG"	"microRNA 424///MIR503 host gene"	3.499	3.93
"229814_at"	"TNFAIP8"	"TNF alpha induced protein 8"	2.163	3.328
"229937_x_at"			-3.262	3.42
"229968_at"			-2.924	4.378
"230158_at"	"DPY19L2"	"dpy-19 like 2"	4.13	4.518
"230276_at"	"FAM49A"	"family with sequence similarity 49 member A"	-3.692	3.688
"230364_at"	"CHPT1"	"choline phosphotransferase 1"	-2.909	3.405
"230378_at"	"SCGB3A1"	"secretoglobin family 3A member 1"	7.665	8.357
"230466_s_at"	"RASSF3"	"Ras association domain family member 3"	-4.757	4.914
"230489_at"	"CD5"	"CD5 molecule"	3.436	4.201
"230917_at"	"PLCG2"	"phospholipase C gamma 2"	-2.178	3.461
"230983_at"	"FAM129C"	"family with sequence similarity 129 member C"	-4.116	5.219
"230996_at"	"LPP"	"LIM domain containing preferred translocation partner in lipoma"	2.45	3.723
"231311_at"			3.398	3.424
"231412_at"	"LOC101929709"	"uncharacterized LOC101929709"	-3.106	3.444
"231725_at"	"PCDHB2"	"protocadherin beta 2"	3.797	4.031
"231925_at"	"P2RY1"	"purinergic receptor P2Y1"	4.816	3.831
"232001_at"	"PRKCQ-AS1"	"PRKCQ antisense RNA 1"	3.551	4.326
"232049_at"	"SNX2"	"sorting nexin 2"	-3.268	3.873
"232079_s_at"	"NECTIN2"	"nectin cell adhesion molecule 2"	-3.894	3.631
"232083_at"	"KIF16B"	"kinesin family member 16B"	-2.802	3.787
"232180_at"	"UGP2"	"UDP-glucose pyrophosphorylase 2"	2.482	3.828
"232204_at"	"EBF1"	"early B-cell factor 1"	-8.162	11.579
"232234_at"	"SLA2"	"Src like adaptor 2"	3.266	3.434
"232267_at"	"ADGRD1"	"adhesion G protein-coupled receptor D1"	-3.705	3.845
"232553_at"	"PCYT1B"	"phosphate cytidylyltransferase 1, choline, beta"	4.273	4.486
"233031_at"	"ZEB2"	"zinc finger E-box binding homeobox 2"	-3.149	3.447
"233050_at"	"SOGA3///KIAA0408"	"SOGA family member 3///KIAA0408"	4.152	3.473
"233131_at"	"CFAP58"	"cilia and flagella associated protein 58"	-2.272	3.783
"233233_at"	"RASSF3"	"Ras association domain family member 3"	-3.191	4.186
"233261_at"	"EBF1"	"early B-cell factor 1"	-5.907	5.222
"233302_at"			4.447	3.294
"233884_at"	"HIVEP3"	"human immunodeficiency virus type I enhancer binding protein 3"	4.513	3.607
"233891_at"	"MUC3"	"intestinal mucin-like"	-3.127	5.71
"234612_at"			-2.831	4.382
"234806_at"	"ORF1"	"uncharacterized protein, clone pT-Adv JuaX22"	3.364	3.362
"235074_at"	"SPRED1"	"sprouty related EVH1 domain containing 1"	-3.708	5.504
"235085_at"	"SGK223"	"homolog of rat pragma of Rnd2"	-4.417	3.9
"235114_x_at"	"HOOK3"	"hook microtubule tethering protein 3"	-3.033	4.1
"235278_at"	"MACROD2"	"MACRO domain containing 2"	-5.001	7.787
"235383_at"	"MYO7B"	"myosin VIIB"	6.665	4.887
"235574_at"	"GBP4"	"guanylate binding protein 4"	-3.573	3.503
"235745_at"	"ERN1"	"endoplasmic reticulum to nucleus signaling 1"	2.266	3.596
"235900_at"	"SPNS3"	"sphingolipid transporter 3 (putative)"	3.851	4.403
"236063_at"			-2.986	3.514
"236099_at"			-2.612	3.869
"236104_at"	"HNRNPLL"	"heterogeneous nuclear ribonucleoprotein L like"	3.949	3.489
"236395_at"			-5.635	7.167
"236522_at"			-3.091	3.317
"236793_at"			5.51	4.138
"238018_at"	"FAM150B"	"family with sequence similarity 150 member B"	-6.006	3.72
"238175_at"			5.423	4.519
"238180_at"	"LOC102724094"	"uncharacterized LOC102724094"	2.766	3.271
"238376_at"	"LOC100505564"	"uncharacterized LOC100505564"	-2.981	4.782
"238465_at"	"SETD9"	"SET domain containing 9"	-1.877	3.556
"238469_at"	"OGFRL1"	"opioid growth factor receptor like 1"	-4.797	5.905
"238509_at"	"CUL1"	"cullin 1"	-2.936	4.818
"238607_at"	"ZNF296"	"zinc finger protein 296"	-3.807	5.286
"238756_at"	"GAS2L3"	"growth arrest specific 2 like 3"	-3.42	4.035
"238784_at"	"DPY19L2"	"dpy-19 like 2"	4.761	4.616
"238906_s_at"	"RHOJ"	"ras homolog family member J"	-3.232	3.384
"239214_at"	"LOC100130458"	"uncharacterized LOC100130458"	-5.27	6.654
"239280_at"			4.828	4.087
"239281_at"	"ZDHHC14"	"zinc finger DHHC-type containing 14"	-2.438	3.294
"239317_at"			-3.655	3.714
"239966_at"			-4.087	3.446
"240015_at"	"PRKCQ-AS1"	"PRKCQ antisense RNA 1"	2.174	4.844
"240053_x_at"	"PEX5L"	"peroxisomal biogenesis factor 5 like"	4.612	4.534
"240546_at"	"LINC01120"	"long intergenic non-protein coding RNA 1120"	4.755	4.585
"241074_at"			5.192	8.722
"241139_at"			2.51	3.485
"241833_at"	"PEX5L"	"peroxisomal biogenesis factor 5 like"	6.11	6.225
"242051_at"			2.867	3.47
"242292_at"	"FAM226B///FAM226A"	"family with sequence similarity 226 member B (non-protein coding)///family with sequence similarity 226 member A (non-protein coding)"	5.035	5.269
"242738_s_at"	"ZFHX3"	"zinc finger homeobox 3"	-2.869	3.698
"243348_at"			-2.765	3.487
"243363_at"	"LEF1-AS1"	"LEF1 antisense RNA 1"	-2.712	3.673
"243551_at"			-2.672	3.382
"243808_at"			2.969	3.284
"244033_at"	"CEP128"	"centrosomal protein 128"	2.021	3.404
"244172_at"			-3.642	4.311
"244189_at"	"TTC28-AS1"	"TTC28 antisense RNA 1"	1.664	4.293
"244210_at"			-4.092	4.015
"244230_at"			-3.209	3.98
"244280_at"	"LINC01013"	"long intergenic non-protein coding RNA 1013"	-3.534	4.649
"244457_at"			2.458	3.706
"244485_at"	"HLA-DPB1"	"major histocompatibility complex, class II, DP beta 1"	-2.033	3.776
"244576_at"			-2.639	3.512
"244579_at"			4.499	3.404
"244654_at"	"MYO1G"	"myosin IG"	3.255	4.162
"244716_x_at"	"TMIGD2"	"transmembrane and immunoglobulin domain containing 2"	2.704	3.343
"244874_at"	"CHST15"	"carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15"	-2.213	4.618
"244876_at"			-5.896	5.742
"266_s_at"	"CD24"	"CD24 molecule"	-4.512	3.585
"336_at"	"TBXA2R"	"thromboxane A2 receptor"	-4.314	3.274
"34726_at"	"CACNB3"	"calcium voltage-gated channel auxiliary subunit beta 3"	1.554	3.337
"36545_s_at"	"SFI1"	"SFI1 centrin binding protein"	1.891	4.218
"37590_g_at"			2.078	4.073
"38521_at"	"CD22"	"CD22 molecule"	-4.301	5.478
"39248_at"	"AQP3"	"aquaporin 3 (Gill blood group)"	2.574	3.758
"39318_at"	"TCL1A"	"T-cell leukemia/lymphoma 1A"	-5.8	3.78
"47550_at"	"LZTS1"	"leucine zipper tumor suppressor 1"	3.704	3.447
"50221_at"	"TFEB"	"transcription factor EB"	-3.846	6.923
"50400_at"	"PAOX"	"polyamine oxidase (exo-N4-amino)"	-2.19	3.973
"52837_at"	"KIAA1644"	"KIAA1644"	4.202	4.499
