ID	Gene.symbol	Gene.title	log2(fold change)(Tumour vs Normal)	-log10(Pvalue)(Tumour vs Normal)
128471	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated	0.584	2.997
128495	HJURP	Holliday junction recognition protein	1.455	2.573
128513	CLCN2	chloride voltage-gated channel 2	-1.36	3.725
128553	FMO4	flavin containing monooxygenase 4	-1.597	5.358
128630	IL6R	interleukin 6 receptor	-1.529	4.283
128766	EIF2S2	eukaryotic translation initiation factor 2 subunit beta	0.797	2.939
128883	EBNA1BP2	EBNA1 binding protein 2	0.881	3.086
128904	CNRIP1	cannabinoid receptor interacting protein 1	-1.163	2.884
128922	E2F3	E2F transcription factor 3	0.665	2.709
128967	GARS	glycyl-tRNA synthetase	0.847	2.768
128985	LTV1	LTV1 ribosome biogenesis factor	0.653	3.135
129040	NDN	necdin, MAGE family member	-1.02	2.824
129116	LGMN	legumain	-0.653	2.807
129144	PKP4	plakophilin 4	0.701	2.733
129330			-1.027	4.058
129341	PML	promyelocytic leukemia	0.844	2.461
129431			0.594	3.062
129441	OPTN	optineurin	-0.567	2.453
129450	NONO	non-POU domain containing, octamer-binding	0.874	4.004
129458			0.664	3.336
129509	NOLC1	nucleolar and coiled-body phosphoprotein 1	1.199	2.667
129575	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	-1.075	3.266
129671			-0.707	2.603
129683	MTM1	myotubularin 1	-1.474	4.958
129748	GDPD2	glycerophosphodiester phosphodiesterase domain containing 2	-1.989	5.515
129764	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	-1.149	4.255
129812	DARS	aspartyl-tRNA synthetase	0.599	3.199
129837			1.233	3.897
129926	SDAD1	SDA1 domain containing 1	0.729	3.069
129972	PXMP2	peroxisomal membrane protein 2	-1.032	5.099
129974	ADAMDEC1	ADAM like decysin 1	-2.534	5.588
130030			0.559	2.763
130267	EIF3J	eukaryotic translation initiation factor 3 subunit J	0.616	3.307
130288	WDR7	WD repeat domain 7	-0.816	3.788
130322	IL1B	interleukin 1 beta	2.279	2.907
130335	KIF13B	kinesin family member 13B	-0.91	3.368
130349	UBL3	ubiquitin like 3	-0.714	2.543
130358			0.489	2.809
130360			0.815	3.686
130465	CDC6	cell division cycle 6	1.297	2.67
130500	ARMC10	armadillo repeat containing 10	0.817	3.727
130594			0.429	2.632
130652	MRPL3	mitochondrial ribosomal protein L3	0.636	3.699
130789	CLEC3A	C-type lectin domain family 3 member A	-0.707	2.633
130823			0.882	3.496
130913	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type	-1.583	3.034
130916	MS4A12	membrane spanning 4-domains A12	-4.588	4.241
131118			0.646	3.4
131190	LAT2	linker for activation of T-cells family member 2	-0.981	3.295
131198	PDE6A	phosphodiesterase 6A	-2.419	6.864
131216	BID	BH3 interacting domain death agonist	0.621	2.573
131259	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	-1.039	3.246
131517			0.616	2.451
131567	CETN2	centrin 2	0.552	2.679
131595	PTN	pleiotrophin	-2.236	3.752
131610			1.172	3.033
131650	CWH43	cell wall biogenesis 43 C-terminal homolog	-2.567	3.942
131675	PDE4B	phosphodiesterase 4B	1.294	3.448
131758	RANGAP1	Ran GTPase activating protein 1	0.856	2.578
131844			0.717	2.753
131899	DACH1	dachshund family transcription factor 1	1.229	2.519
131917	SF3A3	splicing factor 3a subunit 3	0.703	2.61
131931	ICAM3	intercellular adhesion molecule 3	-0.698	2.768
131962	HPS4	HPS4, biogenesis of lysosomal organelles complex 3 subunit 2	0.59	2.489
132033	EIF3H	eukaryotic translation initiation factor 3 subunit H	0.763	3.059
132060	TMEM127	transmembrane protein 127	-0.745	3.378
132112			-0.89	2.581
132211			1.222	3
132227	BRD7	bromodomain containing 7	0.623	2.992
132261	ZPR1	ZPR1 zinc finger	0.704	4.185
132282	FGFBP1	fibroblast growth factor binding protein 1	-1.73	2.799
132301	CHMP2A	charged multivesicular body protein 2A	-0.468	2.599
132469	STEAP1B///STEAP1	STEAP family member 1B///six transmembrane epithelial antigen of the prostate 1	0.932	2.903
132489	EPHX2	epoxide hydrolase 2	-0.83	2.513
132542	MISP	mitotic spindle positioning	-0.814	2.788
132641	SHOC2	SHOC2, leucine rich repeat scaffold protein	-0.646	3.173
132658	FAM162A	family with sequence similarity 162 member A	-0.846	3.038
132666	MYC	v-myc avian myelocytomatosis viral oncogene homolog	2.108	6.245
132681			0.683	2.798
132709	UMPS	uridine monophosphate synthetase	0.722	2.749
132735	UBQLN1	ubiquilin 1	0.646	2.57
132736			0.953	2.69
132747	GCSH	glycine cleavage system protein H	0.784	2.987
132759			-1.538	4.613
132797			-0.777	2.641
132844	SLCO4A1	solute carrier organic anion transporter family member 4A1	2.162	5.395
132878	CD22	CD22 molecule	-2.07	2.92
132913	MRPL17	mitochondrial ribosomal protein L17	0.898	4.657
132946			-2.043	2.661
132984			1.216	2.78
133008			1.439	3.652
133041	PSKH2	protein serine kinase H2	-1.257	2.546
133142	MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)	0.81	3.078
133238			0.466	2.838
133261	RFX5	regulatory factor X5	0.969	2.702
133356			0.638	2.843
133424	ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8	-1.4	2.564
133505	FAM189A2	family with sequence similarity 189 member A2	-1.56	2.914
133543	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	-1.166	3.427
133604	CD44	CD44 molecule (Indian blood group)	1.152	3.636
133626	AATF	apoptosis antagonizing transcription factor	0.597	3.805
133664	SP5	Sp5 transcription factor	1.518	2.869
133810			-1.108	2.984
133849	PYY	peptide YY	-4.605	5.729
133906	TGFBI	transforming growth factor beta induced	1.865	4.812
133925	CYTH3	cytohesin 3	0.87	3.017
133936	C1orf115	chromosome 1 open reading frame 115	-1.446	2.963
134052	CTPS1	CTP synthase 1	1.15	3.736
134095	SLCO2B1	solute carrier organic anion transporter family member 2B1	-0.608	2.478
134377	RCBTB1	RCC1 and BTB domain containing protein 1	0.796	2.596
134444	GOLM1	golgi membrane protein 1	-1.259	2.876
134579			2.524	2.514
134657	LONP1	lon peptidase 1, mitochondrial	0.822	2.694
134760	FGFRL1	fibroblast growth factor receptor-like 1	1.482	3.377
134780	BLOC1S1	biogenesis of lysosomal organelles complex 1 subunit 1	-0.763	4.139
134967			-1.611	2.709
135104	B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1	0.797	2.606
135302	TOP2A	topoisomerase (DNA) II alpha	1.178	2.752
135397			0.94	3.028
135410	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	-1.022	3.638
135420	MMP11	matrix metallopeptidase 11	2.055	3.686
135492	MLX	MLX, MAX dimerization protein	-0.578	3.064
135522			0.887	2.999
135746	RACGAP1	Rac GTPase activating protein 1	1.028	2.991
135801	RAB9A	RAB9A, member RAS oncogene family	-0.71	3.052
135812	HOXD11	homeobox D11	-1.281	3.244
135943			0.807	2.955
136075	CBWD3///CBWD2	COBW domain containing 3///COBW domain containing 2	0.513	3.197
136109	EFCAB11	EF-hand calcium binding domain 11	1.183	3.544
136174			-0.716	2.437
136223			1.081	2.752
136269	NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1	0.686	4.002
136273	TIPIN	TIMELESS interacting protein	1.867	3.38
136311	MRPL37	mitochondrial ribosomal protein L37	0.837	3.313
136424			-1.099	4.141
136478	CDHR2	cadherin related family member 2	-1.721	4.018
136536	AZGP1	alpha-2-glycoprotein 1, zinc-binding	2.013	2.601
136543			0.556	2.781
136625	TMEM47	transmembrane protein 47	-0.913	2.564
136648	LOXL2	lysyl oxidase like 2	1.321	2.711
136743	NCOA1	nuclear receptor coactivator 1	-0.515	2.599
136764	KAT2A	lysine acetyltransferase 2A	0.77	3.096
136844	EIF5B	eukaryotic translation initiation factor 5B	0.699	2.56
136879	DCAF11	DDB1 and CUL4 associated factor 11	-0.637	3.562
136942			-0.692	2.761
136952	EGFR	epidermal growth factor receptor	-0.667	2.779
137136	GULP1	GULP, engulfment adaptor PTB domain containing 1	-1.713	3.571
137199	NUP62	nucleoporin 62	0.608	2.646
137261	SLC22A5	solute carrier family 22 member 5	-1.201	2.497
137274			0.87	3.946
137330			0.631	3.758
137363	INO80C	INO80 complex subunit C	-0.624	3.019
137436			-0.794	3.326
137488	NMD3	NMD3 ribosome export adaptor	0.959	3.77
137498	FBXL3	F-box and leucine rich repeat protein 3	-0.576	2.56
137528	DCTD	dCMP deaminase	0.773	2.971
137654	TMEM126B	transmembrane protein 126B	0.555	2.562
137737	MECR	mitochondrial trans-2-enoyl-CoA reductase	0.788	2.76
137785	SP140	SP140 nuclear body protein	-1.075	2.671
137815	HPDL	4-hydroxyphenylpyruvate dioxygenase like	1.103	2.595
137904	TCHP	trichoplein keratin filament binding	0.724	2.524
138012	MALSU1	mitochondrial assembly of ribosomal large subunit 1	0.593	3.34
138013	PYROXD1	pyridine nucleotide-disulphide oxidoreductase domain 1	-0.575	2.681
138294			0.971	2.622
138381	TRAF5	TNF receptor associated factor 5	0.929	4.091
138397			1.345	2.886
138543	HACD3	3-hydroxyacyl-CoA dehydratase 3	1.431	3.188
138602	MXI1	MAX interactor 1, dimerization protein	-1.197	3.988
138685	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	1.382	2.787
138799	BIN2	bridging integrator 2	-0.869	3.247
138808	C10orf35	chromosome 10 open reading frame 35	0.998	2.438
138809			0.819	3.443
138830	TNFRSF10C	TNF receptor superfamily member 10c	1.359	4.159
138852	PARM1	prostate androgen-regulated mucin-like protein 1	-1.479	3.988
139039	DUS4L	dihydrouridine synthase 4 like	0.908	2.887
139052	VAPA	VAMP associated protein A	-0.553	2.582
139103	RNASE1	ribonuclease A family member 1, pancreatic	-1.273	3.211
139107			0.683	2.7
139162	TIMM8A	translocase of inner mitochondrial membrane 8 homolog A (yeast)	0.899	2.555
139216			-1.531	6.522
139228	TIMM9	translocase of inner mitochondrial membrane 9	0.62	2.735
139301			0.618	2.488
139356	MRPS23	mitochondrial ribosomal protein S23	1.062	4.4
139494	WNT5A	Wnt family member 5A	1.645	3.265
139723			0.707	3.465
139760			-0.524	2.514
139826	RMDN2	regulator of microtubule dynamics 2	-0.952	3.563
139850	FABP2	fatty acid binding protein 2	-1.715	2.889
139854	PBLD	phenazine biosynthesis like protein domain containing	-1.104	2.8
139859	C1orf174	chromosome 1 open reading frame 174	1.025	2.759
139964			0.612	2.469
140007	HECTD3	HECT domain E3 ubiquitin protein ligase 3	-0.866	2.873
140114	SLC22A17	solute carrier family 22 member 17	-0.951	2.85
140316	RAN	RAN, member RAS oncogene family	0.929	3.453
140333			-3.147	6.071
140413	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase	-0.715	3.123
140439	POP7	POP7 homolog, ribonuclease P/MRP subunit	0.585	3.298
140440	SPINK2	serine peptidase inhibitor, Kazal type 2	-1.465	4.08
140496	ARL4A	ADP ribosylation factor like GTPase 4A	-0.509	2.439
140564			-0.616	2.926
140625	DPEP1	dipeptidase 1 (renal)	2.486	2.811
140702	RIPK3	receptor interacting serine/threonine kinase 3	-0.773	3.614
140708	ACAT1	acetyl-CoA acetyltransferase 1	-1.235	3.538
140780	OPN3	opsin 3	-1.146	3.218
140786	CHST7	carbohydrate sulfotransferase 7	-0.707	2.581
140979	PLS1	plastin 1	-1.44	4.159
141023	SMYD2	SET and MYND domain containing 2	0.909	3.937
141029	EIF4B	eukaryotic translation initiation factor 4B	0.659	2.73
141033			0.823	3.321
141049	WDR75	WD repeat domain 75	0.585	3.766
141103			-0.601	3.349
141151	MMP3	matrix metallopeptidase 3	3.666	3.54
141190	HOXB13	homeobox B13	-0.959	2.515
141223			1.41	3.91
141226			1.032	2.57
141313	FANCB	Fanconi anemia complementation group B	1.346	3.571
141331	GPA33	glycoprotein A33	-1.378	3.916
141333	CHI3L1	chitinase 3 like 1	2.68	5.083
141369			-1.188	2.485
141544	METTL22	methyltransferase like 22	0.691	2.529
141635	SOSTDC1	sclerostin domain containing 1	-2.3	3.996
141676	VPS37B	VPS37B, ESCRT-I subunit	-0.672	2.8
141686	C1orf106	chromosome 1 open reading frame 106	-0.805	3.136
141703			0.76	3.229
141761	SQRDL	sulfide quinone reductase-like (yeast)	-0.922	3.373
141858	FMN2	formin 2	-1.916	4.149
141900	DDIAS	DNA damage induced apoptosis suppressor	1.369	3.028
141916	RAB37	RAB37, member RAS oncogene family	-1.532	3.48
141956			0.69	2.912
141965			-1.183	3.128
141969	JAM2	junctional adhesion molecule 2	-1.389	3.184
141972	CGREF1	cell growth regulator with EF-hand domain 1	1.305	3.576
141980	LYAR	Ly1 antibody reactive	1.385	4.504
141983	LIMA1	LIM domain and actin binding 1	-0.913	3.53
142072	CIPC	CLOCK interacting pacemaker	-0.677	3.005
142237	MMP12	matrix metallopeptidase 12	1.536	2.519
142257	IL2RG	interleukin 2 receptor subunit gamma	-0.954	3.208
142288			1.037	3.249
142294			-1.791	3.149
142362			-0.762	2.608
142487	B4GALT1	beta-1,4-galactosyltransferase 1	-0.858	3.411
142520			0.663	2.727
142553			0.968	3.212
142563	MAPK3	mitogen-activated protein kinase 3	-0.866	2.898
142616	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3	-0.481	2.586
142688	PDCD2L	programmed cell death 2 like	1.29	5.103
142703			-1.49	2.511
142705	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	1.329	3.413
142932			-1.152	3.055
143083	CARHSP1	calcium regulated heat stable protein 1	0.672	3.096
143109	NLE1	notchless homolog 1	1.136	2.817
143111	GPT2	glutamic--pyruvic transaminase 2	1.955	4.633
143238	CSE1L	chromosome segregation 1 like	1.154	4.108
143242	MRGBP	MRG/MORF4L binding protein	1.482	3.459
143260			-1.279	2.598
143273	MAL	mal, T-cell differentiation protein	-1.464	2.779
143287	AQP8	aquaporin 8	-5.851	6.059
143290	TMEM54	transmembrane protein 54	-1.197	3.826
143319	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor	-1.37	6.394
143443	GNG7	G protein subunit gamma 7	-2.345	4.043
143507	CPM	carboxypeptidase M	-2.054	3.966
143546	CHGA	chromogranin A	-2.404	4.86
143554	TTR	transthyretin	-1.256	2.596
143563	CSNK2A2	casein kinase 2 alpha 2	0.563	2.957
143570			1.577	5.022
143619	THEM6	thioesterase superfamily member 6	0.763	2.661
143621	NIT1	nitrilase 1	-0.671	3.367
143630	TBC1D20	TBC1 domain family member 20	1.104	4.493
143651	UBE2C	ubiquitin conjugating enzyme E2 C	1.62	3.423
143671	COX6B2	cytochrome c oxidase subunit 6B2	-0.922	2.611
143852	PDCD6IP	programmed cell death 6 interacting protein	-0.736	3.376
143933	TMCC3	transmembrane and coiled-coil domain family 3	-1.92	4.736
143936	MFSD4A	major facilitator superfamily domain containing 4A	-2.442	4.229
143992			1.214	3.294
143998	SFRP1	secreted frizzled related protein 1	-3.051	3.715
144028	CIDEC	cell death inducing DFFA like effector c	-1.164	4.474
144034			-0.677	2.726
144133			0.81	3.261
144148	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	-1.526	4.719
144256	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	1.054	4.948
144371	KRT14	keratin 14	-1.442	5.037
144407			-0.906	3.668
144408	ZNHIT2	zinc finger HIT-type containing 2	1.109	3.152
144438	MRGBP	MRG/MORF4L binding protein	0.909	3.164
144569	MT1F	metallothionein 1F	-1.716	3.019
144625			-3.179	2.891
144669	TMEM9B	TMEM9 domain family member B	-0.701	2.781
144670	LRRC3	leucine rich repeat containing 3	-1.45	3.222
144730	FAM57A	family with sequence similarity 57 member A	0.837	3.048
144842			0.975	3.392
144848	PAX3	paired box 3	-0.755	2.642
144894	CTSW	cathepsin W	-1.461	3.381
144908	ACO2	aconitase 2	-0.578	2.493
145027			0.634	3.743
145269	SLC44A1	solute carrier family 44 member 1	-0.681	2.697
145275	GNPDA1	glucosamine-6-phosphate deaminase 1	1.014	3.38
145326	ZNF786	zinc finger protein 786	0.988	2.51
145333			0.661	3.125
145357	RPP40	ribonuclease P/MRP subunit p40	1.208	4.161
145359	NEBL	nebulette	1.607	5.434
145377			1.057	2.78
145447	EPHB4	EPH receptor B4	1.223	4.692
145487	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	1.028	3.332
145525	GPR87	G protein-coupled receptor 87	-0.947	4.498
145550	S100A11	S100 calcium binding protein A11	0.707	3.03
145583	GYPC	glycophorin C (Gerbich blood group)	-0.833	2.455
145587	ACTL6A	actin like 6A	0.811	3.302
145632	GCLM	glutamate-cysteine ligase modifier subunit	0.774	2.845
145831	ESPNL	espin-like	0.661	2.617
145871	CCND3	cyclin D3	-0.691	3.432
145919	MMP7	matrix metallopeptidase 7	4.519	5.643
145935	FAM83E	family with sequence similarity 83 member E	-0.671	2.605
145956	GLYATL1	glycine-N-acyltransferase like 1	2.35	4.169
145980	GRAMD3	GRAM domain containing 3	-1.149	3.426
145989			-1.017	2.556
146037	FDCSP	follicular dendritic cell secreted protein	-3.456	4.205
146098	PTTG1IP	pituitary tumor-transforming 1 interacting protein	-0.719	2.823
146302	P2RX5	purinergic receptor P2X 5	-1.336	3.052
146311	IFITM2	interferon induced transmembrane protein 2	0.943	4.439
146323	SECTM1	secreted and transmembrane 1	-1.636	2.976
146368			-1.597	3.086
146400	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	-1.571	4.146
146508	SMYD5	SMYD family member 5	0.98	3.704
146556	KRBA1	KRAB-A domain containing 1	-0.698	2.625
146593	ACADVL	acyl-CoA dehydrogenase, very long chain	-0.896	3.926
146600			0.648	3.025
146625	FEV	FEV, ETS transcription factor	-1.826	4.612
146666	SAA2	serum amyloid A2	2.228	4.38
146689			-1.935	4.133
146722	GUCA2A	guanylate cyclase activator 2A	-5.01	5.759
146761			-1.616	3.256
146818	PCSK7	proprotein convertase subtilisin/kexin type 7	-0.901	3.955
146893	GPD1L	glycerol-3-phosphate dehydrogenase 1-like	-1.188	3.91
146906	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	-3.488	3.871
147078	LARGE1	LARGE xylosyl- and glucuronyltransferase 1	-0.883	5.091
147452			1.352	2.776
147491	PIGS	phosphatidylinositol glycan anchor biosynthesis class S	-0.546	2.569
147539	PPARGC1A	PPARG coactivator 1 alpha	-1.819	2.945
147628	ESR1	estrogen receptor 1	-1.432	4.025
147634	AKAP9	A-kinase anchoring protein 9	-0.92	3.485
147778	RBMXL1	RNA binding motif protein, X-linked like 1	0.612	3.3
147818			-0.718	2.895
147927			1.482	3.015
147928	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	1.251	2.891
147978	FAM84B	family with sequence similarity 84 member B	0.856	2.467
148049	CACFD1	calcium channel flower domain containing 1	-0.769	3.684
148054	PHLDA1	pleckstrin homology like domain family A member 1	1.496	3.241
148113	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	0.755	2.752
148114	TRIT1	tRNA isopentenyltransferase 1	0.588	2.771
148132			-0.916	3.37
148153	DUSP4	dual specificity phosphatase 4	2.244	3.562
148160			0.885	3.418
148185			-1.494	4.728
148227	WDR45B	WD repeat domain 45B	0.535	2.482
148241	METTL5	methyltransferase like 5	0.651	3.844
148290			-1.698	3.192
148356	SH3RF1	SH3 domain containing ring finger 1	-0.664	2.661
148362	OGN	osteoglycin	-2.238	3.523
148396	TAF1D	TATA-box binding protein associated factor, RNA polymerase I subunit D	0.825	2.99
148571	FAM160A2	family with sequence similarity 160 member A2	-0.793	4.121
148620	SLC44A4	solute carrier family 44 member 4	-1.329	3.673
148630	AGT	angiotensinogen	1.697	2.567
148770	MGLL	monoglyceride lipase	-0.95	3.627
148869			1.012	3.315
148967			-0.554	3.208
149133	SOD2	superoxide dismutase 2, mitochondrial	1.241	3.311
149192	CXCL1	C-X-C motif chemokine ligand 1	2.347	6.182
149216	DAO	D-amino acid oxidase	-0.881	2.715
149642	NCL	nucleolin	0.818	3.939
149707	SLC19A1	solute carrier family 19 member 1	0.907	2.635
149755	ST6GALNAC6	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	-2.434	3.699
149793	TPST2	tyrosylprotein sulfotransferase 2	-0.818	3.651
149817	SLC1A7	solute carrier family 1 member 7	-0.97	4.172
149837	MYBBP1A	MYB binding protein 1a	0.758	2.488
149883			0.945	2.802
149928			-1.135	3.161
150003	GBA	glucosylceramidase beta	-0.605	2.807
150079	POC1A	POC1 centriolar protein A	1.058	2.749
150137	FABP4	fatty acid binding protein 4	-2.401	4.588
150246	ZNF446	zinc finger protein 446	-0.97	2.778
150305	LARGE2	LARGE xylosyl- and glucuronyltransferase 2	1.279	3.203
150353	IGFBP6	insulin like growth factor binding protein 6	-1.222	2.932
150381	C1QC	complement C1q C chain	-0.942	3.651
150424	GLTP	glycolipid transfer protein	-1.194	4.35
150470	AGT	angiotensinogen	2.271	4.519
150673	DTD1	D-tyrosyl-tRNA deacylase 1	0.857	2.83
150817	HN1L	hematological and neurological expressed 1 like	0.638	3.377
150963	CFD	complement factor D	-1.876	3.438
150965	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	1.259	3.039
151005	CA9	carbonic anhydrase 9	2.025	2.708
151062	MRPL42	mitochondrial ribosomal protein L42	0.773	3.413
151078			-1.784	4.823
151108	ASNS	asparagine synthetase (glutamine-hydrolyzing)	0.901	2.509
151191	PCID2	PCI domain containing 2	0.767	2.82
151198			0.66	2.737
151216	OR9G4	olfactory receptor family 9 subfamily G member 4	-0.989	3.038
151268	PSAT1	phosphoserine aminotransferase 1	1.716	2.529
151370			1.391	2.974
151474			-0.427	2.565
151510			1.226	4.206
151525			1.104	3.205
151631			-0.709	2.483
151787			-1.045	2.499
151841	PIP5KL1	phosphatidylinositol-4-phosphate 5-kinase like 1	-0.759	2.449
151867	SSRP1	structure specific recognition protein 1	0.675	2.835
151914	RPS6KC1	ribosomal protein S6 kinase C1	0.921	3.245
151931	SEMA4G	semaphorin 4G	-1.063	3.482
152134	PGGHG	protein-glucosylgalactosylhydroxylysine glucosidase	0.992	2.727
152237			1.36	3.005
152249			-1.899	3.504
152373			-2.263	5.225
152463	PLCL2	phospholipase C like 2	-1.5	4.849
152483	EXOSC3	exosome component 3	0.709	3.236
152488			1.01	2.623
152505			0.806	2.496
152509			-1.231	3.109
152640			1.249	5.753
152726			-0.987	3.419
152856	TMEM45B	transmembrane protein 45B	-1.041	5.132
152965			-1.127	2.891
153112	RAD54L	RAD54-like (S. cerevisiae)	1.316	2.895
153207	LRFN3	leucine rich repeat and fibronectin type III domain containing 3	-0.688	2.458
153280	PRKCD	protein kinase C delta	-0.854	3.406
153282	TNFSF10	tumor necrosis factor superfamily member 10	-0.922	2.7
153298			0.686	2.9
153397			1.121	2.626
153454	GTF2F2	general transcription factor IIF subunit 2	0.648	2.901
153554	BTNL8	butyrophilin like 8	-2.178	3.208
153627	SCEL	sciellin	-1.533	3.751
153698	TRMT5	tRNA methyltransferase 5	0.944	2.999
153767			1.396	3.055
153780	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide	0.571	2.771
153835			1.162	3.307
153856	SPINK5	serine peptidase inhibitor, Kazal type 5	-2.621	3.951
153865	FMO3	flavin containing monooxygenase 3	0.951	2.497
153977	DPCD	deleted in primary ciliary dyskinesia homolog (mouse)	0.853	2.841
154012			-0.734	2.67
154071	IARS	isoleucyl-tRNA synthetase	0.998	3.663
154165	SPATS2L	spermatogenesis associated serine rich 2 like	-0.81	3.497
154330			0.681	3.22
154419	GABARAP	GABA type A receptor-associated protein	-0.567	2.502
154448			-0.498	2.877
154501			0.787	2.713
154607	FXYD5	FXYD domain containing ion transport regulator 5	0.852	2.593
154779	TSEN15	tRNA splicing endonuclease subunit 15	0.948	3.391
154864	PCSK6	proprotein convertase subtilisin/kexin type 6	-0.944	3.266
154923	COL7A1	collagen type VII alpha 1 chain	1.29	2.919
154988	ASCC3	activating signal cointegrator 1 complex subunit 3	0.627	3.226
154991	CCDC24	coiled-coil domain containing 24	-0.758	2.565
155047	MEST	mesoderm specific transcript	1.244	4.395
155063	PGM1	phosphoglucomutase 1	-0.717	2.842
155101			0.909	2.95
155112	DKC1	dyskerin pseudouridine synthase 1	1.25	3.392
155120			0.451	2.484
155172	RILP	Rab interacting lysosomal protein	-0.858	3.419
155208			0.824	3.88
155373	AKAP7	A-kinase anchoring protein 7	-1.093	2.588
155417	DENND2A	DENN domain containing 2A	-1.425	2.885
155565	ASIC1	acid sensing ion channel subunit 1	2.448	5.12
155570	WDYHV1	WDYHV motif containing 1	1.193	3.694
155675	LGR4	leucine rich repeat containing G protein-coupled receptor 4	-0.709	2.729
155784			0.781	3.46
155785	SH3BP4	SH3 domain binding protein 4	0.626	2.751
155815			0.825	3.822
155848	PRADC1	protease associated domain containing 1	-0.647	2.845
155861			-0.755	2.608
155880			-0.576	2.646
155905			1.291	4.512
155962	FOLR3	folate receptor 3	-1.218	3.619
155963			-1.64	3.418
155970	SMIM14	small integral membrane protein 14	-1.549	4.433
155996			0.863	3.81
156029	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	0.717	2.646
156051	KRTCAP3	keratinocyte associated protein 3	0.764	2.904
156072	LILRA4	leukocyte immunoglobulin like receptor A4	-0.703	3.122
156083	GABRG3	gamma-aminobutyric acid type A receptor gamma3 subunit	-1.049	2.876
156100	AHCYL2	adenosylhomocysteinase like 2	-1.987	4.288
156160			0.893	2.469
156212	ZC3H8	zinc finger CCCH-type containing 8	0.858	3.608
156250	ADORA3	adenosine A3 receptor	-1.738	4.922
156272			1.067	3.026
156277			0.949	3.767
156304	PSMB2	proteasome subunit beta 2	0.773	3.108
156379	SLC39A6	solute carrier family 39 member 6	0.849	3.807
156493	SOCS3	suppressor of cytokine signaling 3	1.031	2.526
156507	BOD1	biorientation of chromosomes in cell division 1	0.771	4.668
156570	PPAT	phosphoribosyl pyrophosphate amidotransferase	1.136	4.493
156640	RPS2	ribosomal protein S2	0.499	3.072
156649	RUNDC3B	RUN domain containing 3B	-1.377	2.75
156661			1.842	4.106
156873	TMEM147	transmembrane protein 147	0.569	3.018
156898			0.64	2.998
156956	CACYBP	calcyclin binding protein	0.687	2.961
157022	PLAC8	placenta specific 8	-2.044	3.118
157046	KPNA2	karyopherin subunit alpha 2	1.268	3.776
157102	PLAC8	placenta specific 8	-2.122	3.323
157108			-2.46	5.132
157188	FAM134B	family with sequence similarity 134 member B	-1.563	3.254
157194	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	1.307	2.669
157489	POLD4	DNA polymerase delta 4, accessory subunit	-0.921	4.838
157543	SLC25A23	solute carrier family 25 member 23	-0.84	3.785
157759	RIMKLA	ribosomal modification protein rimK like family member A	-1.102	2.985
157780	SLC26A2	solute carrier family 26 member 2	-3.532	4.877
157922	SST	somatostatin	-3.836	6.489
157946			1.401	2.654
158058	MFSD1	major facilitator superfamily domain containing 1	-0.62	2.844
158112	ATG4A	autophagy related 4A cysteine peptidase	-1.118	3.385
158147	IPO4	importin 4	0.887	3.328
158198	C12orf29	chromosome 12 open reading frame 29	1.123	4.564
158210	HACD3	3-hydroxyacyl-CoA dehydratase 3	1.113	3.425
158352	EDN3	endothelin 3	-2.388	5.481
158378	PMEPA1	prostate transmembrane protein, androgen induced 1	1.016	2.929
158406	CKS1B	CDC28 protein kinase regulatory subunit 1B	0.937	3.363
158446	STAP1	signal transducing adaptor family member 1	-2.171	3.845
158473			-1.172	4.262
